FAQ questions,FAQ answers,modifiert question,type change
"Wie kann ich eine andere Person bevollmächtigen, einmalig oder mehrmalig für mein Unternehmen einzukaufen?",Alle Informationen zum Thema einmalige (= Tagesvollmacht / temporäre Vollmacht ) oder dauerhafte Bevollmächtigung (= zusätzliche Kundenkarten) findest Du hier: https://www.metro.de/kunde/einkaufsvollmacht,wie kann ich ein anderes person bevollmächtigen mein unternehmen einzukaufen??,fehler
"Wie kann ich eine andere Person bevollmächtigen, einmalig oder mehrmalig für mein Unternehmen einzukaufen?",Alle Informationen zum Thema einmalige (= Tagesvollmacht / temporäre Vollmacht ) oder dauerhafte Bevollmächtigung (= zusätzliche Kundenkarten) findest Du hier: https://www.metro.de/kunde/einkaufsvollmacht,was muss ich tun wenn ich jemanden stellvertreter für mein unternehmen einkaufen lassen will?,fehler
Kann ich Kunde werden?,"Ja, folgende Möglichkeiten hast Du um bei METRO einzukaufen:       Als Geschäftskunde kannst Du im METRO Markt und im Onlineshop einkaufen   Als Privatkunde kannst Du im METRO Onlineshop einkaufen       Weitere Informationen um Kunde zu werden findest Du hier.",Kannn ich auch kundee werden??,fehler
Kann ich Kunde werden?,"Ja, folgende Möglichkeiten hast Du um bei METRO einzukaufen:       Als Geschäftskunde kannst Du im METRO Markt und im Onlineshop einkaufen   Als Privatkunde kannst Du im METRO Onlineshop einkaufen       Weitere Informationen um Kunde zu werden findest Du hier.",wie werd ich kunde??,fehler
Wie kann ich meine digitale Karte in der App aktivieren?,"Wenn Du bereits eine Plastikkarte besitzt, kannst Du Deine digitale METRO Karte einfach selbst direkt in der App aktivieren. Klicke dazu auf die Schaltfläche „Unternehmen hinzufügen“ und scanne den Barcode Deiner METRO Plastikkarte einfach mit der Kamera des Smartphones ab. Anschließend wirst Du gebeten ein Foto hinzuzufügen. Hierfür kannst Du ein Foto mit Deiner Kamera erstellen oder wähle ein bestehendes Foto aus Deinem Album aus.",wie kann ich meine Digitalkarte in der app aktivieren oder??,fehler
Wie kann ich meine digitale Karte in der App aktivieren?,"Wenn Du bereits eine Plastikkarte besitzt, kannst Du Deine digitale METRO Karte einfach selbst direkt in der App aktivieren. Klicke dazu auf die Schaltfläche „Unternehmen hinzufügen“ und scanne den Barcode Deiner METRO Plastikkarte einfach mit der Kamera des Smartphones ab. Anschließend wirst Du gebeten ein Foto hinzuzufügen. Hierfür kannst Du ein Foto mit Deiner Kamera erstellen oder wähle ein bestehendes Foto aus Deinem Album aus.",wieso geht meine digitale karte in der app nicht aktivieren??,fehler
Wo finde ich die Rabatt-Coupons und aktuelle Aktionen in der App?,Wähle den Navigationspunkt „Home“ klicke auf „App Coupons“. Dort findest Du Deine Coupons und kannst sie für Deinen nächsten Einkauf aktivieren.,WO FIND ich die Rabbat Coupos.. aktuelle Aktionen??,fehler
Wo finde ich die Rabatt-Coupons und aktuelle Aktionen in der App?,Wähle den Navigationspunkt „Home“ klicke auf „App Coupons“. Dort findest Du Deine Coupons und kannst sie für Deinen nächsten Einkauf aktivieren.,Wo kann ich rabatt coupon und die neueste aktion in der ap finden??,fehler
Wo finde ich die Öffnungszeiten der METRO Großmärkte?,Die Öffnungszeiten unserer Großmärkte findest Du bequem über unsere Standort-Suche:  https://www.metro.de/standorte,WO sind die Öffnungs Zeiten der metro GROSSmärkte?,fehler
Wo finde ich die Öffnungszeiten der METRO Großmärkte?,Die Öffnungszeiten unserer Großmärkte findest Du bequem über unsere Standort-Suche:  https://www.metro.de/standorte,woher krieg ich die öfnungszeiten der metro supermärkte??!,fehler
Wie werde ich Lieferkunde?,Ganz einfach: Fülle das Formular zur Anmeldung für den METRO Lieferservice aus. Unser Team meldet sich bei Dir und begleitet Dich durch den Anmeldeprozess.  Bitte beachte: Der METRO Lieferservice richtet sich ausschließlich an Gastronomie- und Lebensmittelprofis.,WIE WERD ICH LIEFER KUNDE?!,fehler
Wie werde ich Lieferkunde?,Ganz einfach: Fülle das Formular zur Anmeldung für den METRO Lieferservice aus. Unser Team meldet sich bei Dir und begleitet Dich durch den Anmeldeprozess.  Bitte beachte: Der METRO Lieferservice richtet sich ausschließlich an Gastronomie- und Lebensmittelprofis.,wie werde ich lieferkundeeee??,fehler
Warum kann ich meine Rechnungen nicht durchsuchen und nach Artikeln sortieren?,"Dies ist aktuell leider noch nicht möglich. Wir bemühen uns aber, die App stetig zu verbessern.",wieso geht es nicht meine rechnungen zu durchsuchen und artikel zu sortieren...,fehler
Warum kann ich meine Rechnungen nicht durchsuchen und nach Artikeln sortieren?,"Dies ist aktuell leider noch nicht möglich. Wir bemühen uns aber, die App stetig zu verbessern.",warum kann ich meine Rechnung nicht suchen und nach Artikeln sortieren???,fehler
Wie werden meine Daten bei METRO Chat verarbeitet?,Alle Informationen zum Datenschutz findest Du hier: Datenschutzhinweise,WIE WIRD MEiNe DaTen Beim MeTro ChAt VeRarBeItEt?,fehler
Wie werden meine Daten bei METRO Chat verarbeitet?,Alle Informationen zum Datenschutz findest Du hier: Datenschutzhinweise,wie werden meinee daten bei metr chat verarbeitet...??,fehler
Welche Services gibt es für Händler?,Als Händlerkunde kannst Du von folgenden Vorteilen profitieren:    Exklusive Händlerprospekte   Händlertage mit exklusiven Angeboten   Exklusive Händleraktionen  Exklusive Händlerpreise   Individuelle Tabakpreisschiene   Mein Lieblingseis-Preisliste   Ausführliche Informationen findest Du hier. ,Was für Service's gibt es den für Händelr?!,fehler
Welche Services gibt es für Händler?,Als Händlerkunde kannst Du von folgenden Vorteilen profitieren:    Exklusive Händlerprospekte   Händlertage mit exklusiven Angeboten   Exklusive Händleraktionen  Exklusive Händlerpreise   Individuelle Tabakpreisschiene   Mein Lieblingseis-Preisliste   Ausführliche Informationen findest Du hier. ,welche servis gibt es für HÄNDLER?????,fehler
Wie kann ich meine Standortadresse ändern?,"Du kannst die Adresse Deines Standorts über Dein digitales Profil verwalten. Falls Du noch keines hast, registriere Dich hier und füge Deine METRO Karte hinzu.     Wenn Du bereits ein Profil hast, kannst Du Deine Adressen hier bearbeiten.",WIE KANN ICH MEINE ADREße ÄNDERn...?,fehler
Wie kann ich meine Standortadresse ändern?,"Du kannst die Adresse Deines Standorts über Dein digitales Profil verwalten. Falls Du noch keines hast, registriere Dich hier und füge Deine METRO Karte hinzu.     Wenn Du bereits ein Profil hast, kannst Du Deine Adressen hier bearbeiten.",wie kannn ich min Standort adresse ändern,fehler
"Wie kann ich die Karte aktualisieren, wenn ich eine neue Plastikkarte erhalten habe?","Du kannst die Karte ganz einfach aktualisieren, indem Du die Karte in der App öffnest. Dann machst du einen Pull-to-refresh, indem Du den Finger auf die Karte hältst und nach unten ziehst.",Wie kannn ich karte aktualisieren wenn ich neue plasikarte bekommen haben??,fehler
"Wie kann ich die Karte aktualisieren, wenn ich eine neue Plastikkarte erhalten habe?","Du kannst die Karte ganz einfach aktualisieren, indem Du die Karte in der App öffnest. Dann machst du einen Pull-to-refresh, indem Du den Finger auf die Karte hältst und nach unten ziehst.",wie kan ich mein karte aktualisieren wenn ich ein neue plastik karte erhalten hab?!,fehler
Wie kann ich den METRO Newsletter abonnieren?,Hier kannst Du den METRO Newsletter abonnieren.  ,WIE KANN ICH DEN newsletter von Metro abbonieren??,fehler
Wie kann ich den METRO Newsletter abonnieren?,Hier kannst Du den METRO Newsletter abonnieren.  ,wie kann ich den newsletter von metro abonieren... ich finds nicht,fehler
Wie melde ich mich in der METRO App an?,"Um die METRO App im vollen Funktionsumfang nutzen zu können, ist es erforderlich, registrierte Kundin oder Kunde bei METRO zu sein. Ebenfalls benötigst Du einen myMETRO-Account, um Dich einzuloggen. Zum Erstellen eines MyMETRO-Accounts, kannst Du Dich in der App neu registrieren. Alternativ kannst Du Dich unter www.metro.de/mymetro registrieren. Wenn Du bereits einen myMETRO-Account besitzt, kannst Du Dich in der App einfach mit Deinen Zugangsdaten anmelden.",WIE MELD ICH MICH IN DER metro app an??,fehler
Wie melde ich mich in der METRO App an?,"Um die METRO App im vollen Funktionsumfang nutzen zu können, ist es erforderlich, registrierte Kundin oder Kunde bei METRO zu sein. Ebenfalls benötigst Du einen myMETRO-Account, um Dich einzuloggen. Zum Erstellen eines MyMETRO-Accounts, kannst Du Dich in der App neu registrieren. Alternativ kannst Du Dich unter www.metro.de/mymetro registrieren. Wenn Du bereits einen myMETRO-Account besitzt, kannst Du Dich in der App einfach mit Deinen Zugangsdaten anmelden.",wie kann ich mich in der meto app anmelden...??,fehler
Und wenn ich das METRO-Umsatzziel für die Pentagast-Subvention nicht erreiche?,"Solltest Du das Ziel nicht ganz schaffen, muss die Subvention anteilig oder vollständig zurückgezahlt werden.   Beispiel: Wenn Du nur 40 % des Ziels erreichst, musst Du etwa 60 % der Subvention zurückzahlen.",UND WENN ICH DAS metro umsatz ziel für die pengtagast subention NICHT erreiche!!,fehler
Und wenn ich das METRO-Umsatzziel für die Pentagast-Subvention nicht erreiche?,"Solltest Du das Ziel nicht ganz schaffen, muss die Subvention anteilig oder vollständig zurückgezahlt werden.   Beispiel: Wenn Du nur 40 % des Ziels erreichst, musst Du etwa 60 % der Subvention zurückzahlen.",und wen ichh das METRo Umsatzziel für die peentagast Subvención erreiche nichtt?!,fehler
Kann ich meine deutsche Kundenkarte auch im Ausland benutzen?,"Selbstverständlich kannst Du Deine METRO-Karte auch im Ausland einsetzen. Für Deinen Einkauf steht Dir nahezu jeder METRO- und makro-Markt weltweit zur Verfügung.  Bitte beachte, dass es zur Zeit nur einige wenige Einschränkungen dieser Regelung gibt:  METRO in Serbien darf ausländischen Kunden den Einkauf aus rechtlichen Gründen leider nicht erlauben.  METRO in Frankreich betreibt eine Reihe von Märkten, die sich auf den Bedarf von Kunden aus der Gastronomiebranche konzentrieren - zu diesen Märkten haben nur Kunden Zugang, die eine Tätigkeit in der Gastronomiebranche nachweisen können. Das gilt sowohl für unsere französischen als auch für ausländische Kunden. Falls Du einen Besuch in diesen Ländern planst, bitten wir Dich, dich vorab bei dem jeweiligen Markt nach den geltenden Bestimmungen zu erkundigen.  Bitte lege für Einkäufe in der METRO in Italien, sowie Portugal oder Rumänien, Deine deutsche METRO-Karte sowie Deine europäische Steueridentifikationsnummer vor, dann stellen die Kollegen Dir gerne einen Tagesausweis zum Einkauf aus.   METRO in Italien betreibt jedoch einige wenige Märkte, in denen es nicht möglich ist, als ausländischer Kunde Zutritt zu erhalten. Bitte teile uns bei Bedarf mit, in welchem METRO-Markt Du Deinen Einkauf planst, damit wir dies für Dich prüfen und Dir eine entsprechende Rückmeldung zukommen lassen können. Außerdem ist es bei METRO in Italien aus steuerlichen Gründen schwierig, Alkohol an ausländische Kunden zu verkaufen. Diese können nur für den nachweislich privaten Gebrauch in kleineren Mengen verkauft werden. Die Kunden aus der Gastronomie sowie Wiederverkäufer müssen die steuerlichen Formalitäten für Alkoholeinkauf vorab mit ihrem jeweiligen Hauptzollamt erledigen, denn in diesem Fall benötigen die Kollegen verschiedene behördliche Dokumente. Andere Produkte können jedoch problemlos eingekauft werden.",Kannn ich meine deutche Kundenkarte auch im auslant benützen?!,fehler
Kann ich meine deutsche Kundenkarte auch im Ausland benutzen?,"Selbstverständlich kannst Du Deine METRO-Karte auch im Ausland einsetzen. Für Deinen Einkauf steht Dir nahezu jeder METRO- und makro-Markt weltweit zur Verfügung.  Bitte beachte, dass es zur Zeit nur einige wenige Einschränkungen dieser Regelung gibt:  METRO in Serbien darf ausländischen Kunden den Einkauf aus rechtlichen Gründen leider nicht erlauben.  METRO in Frankreich betreibt eine Reihe von Märkten, die sich auf den Bedarf von Kunden aus der Gastronomiebranche konzentrieren - zu diesen Märkten haben nur Kunden Zugang, die eine Tätigkeit in der Gastronomiebranche nachweisen können. Das gilt sowohl für unsere französischen als auch für ausländische Kunden. Falls Du einen Besuch in diesen Ländern planst, bitten wir Dich, dich vorab bei dem jeweiligen Markt nach den geltenden Bestimmungen zu erkundigen.  Bitte lege für Einkäufe in der METRO in Italien, sowie Portugal oder Rumänien, Deine deutsche METRO-Karte sowie Deine europäische Steueridentifikationsnummer vor, dann stellen die Kollegen Dir gerne einen Tagesausweis zum Einkauf aus.   METRO in Italien betreibt jedoch einige wenige Märkte, in denen es nicht möglich ist, als ausländischer Kunde Zutritt zu erhalten. Bitte teile uns bei Bedarf mit, in welchem METRO-Markt Du Deinen Einkauf planst, damit wir dies für Dich prüfen und Dir eine entsprechende Rückmeldung zukommen lassen können. Außerdem ist es bei METRO in Italien aus steuerlichen Gründen schwierig, Alkohol an ausländische Kunden zu verkaufen. Diese können nur für den nachweislich privaten Gebrauch in kleineren Mengen verkauft werden. Die Kunden aus der Gastronomie sowie Wiederverkäufer müssen die steuerlichen Formalitäten für Alkoholeinkauf vorab mit ihrem jeweiligen Hauptzollamt erledigen, denn in diesem Fall benötigen die Kollegen verschiedene behördliche Dokumente. Andere Produkte können jedoch problemlos eingekauft werden.",kan ich meine deutsche Kundenkarte auhc im ausland benutzen.,fehler
Kann ich mehrere Firmen mit einem Konto verwalten?,Ja! Du kannst mehrere Unternehmen über ein einziges digitales Konto verwalten.   Nach der Registrierung kannst Du weitere METRO Karten scannen und Deinem Profil hinzufügen – sowohl auf der Webseite als auch in der App.,Verwalte ich kann mehrer Firmas mit einem konto?!,fehler
Kann ich mehrere Firmen mit einem Konto verwalten?,Ja! Du kannst mehrere Unternehmen über ein einziges digitales Konto verwalten.   Nach der Registrierung kannst Du weitere METRO Karten scannen und Deinem Profil hinzufügen – sowohl auf der Webseite als auch in der App.,kann ich mehrere firmen mit einen konto verwalten...,fehler
"Ist es möglich, die Karte in mein Apple Wallet zu importieren?","Nein, eine Übertragung ins Wallet können wir leider nicht anbieten, da wir als Großhändler verpflichtet sind, die Identität beim Einkauf zu überprüfen. Dies können wir nur über unsere eigenen Plattformen sicherstellen und daher leider keine Funktionen für andere Plattformen anbieten. Dies dient auch zu Deiner eigenen Sicherheit und dem Schutz vor Missbrauch Deiner Karte! Bitte nutze daher unsere App am Eingang und an der Kasse.",ist es möglich die karte in meins apple wallet zu impotieren!!!??,fehler
"Ist es möglich, die Karte in mein Apple Wallet zu importieren?","Nein, eine Übertragung ins Wallet können wir leider nicht anbieten, da wir als Großhändler verpflichtet sind, die Identität beim Einkauf zu überprüfen. Dies können wir nur über unsere eigenen Plattformen sicherstellen und daher leider keine Funktionen für andere Plattformen anbieten. Dies dient auch zu Deiner eigenen Sicherheit und dem Schutz vor Missbrauch Deiner Karte! Bitte nutze daher unsere App am Eingang und an der Kasse.",Importire ich die KArte ins mein apple wallet kann das?!,fehler
Wie kann ich meine Firmenadresse ändern?,"Die Sicherheit deiner Kundendaten liegt uns sehr am Herzen. Daher möchten wir dich bitten, die Änderung deiner Kundendaten auf einem dieser Wege durchzuführen:     Bei deinem nächsten Einkauf in einem unserer Großmärkte legt der Zeichnungsberechtigte die Kundenkarte am Eingang vor und nennt seine neuen Kundendaten. Sofern vorhanden ist bitte außerdem eine Gewerbe-Ummeldung, ein aktualisierter Handelsregisterauszug oder ein sonstiges offizielles Dokument bezüglich der Adressänderung als Nachweis vorzulegen. Anschließend benötigen wir nur noch eine Unterschrift und die Änderung ist aktiv.     Alternativ kann uns der Zeichnungsberechtigte ein eingescanntes und unterschriebenes Dokument an kontakt@metro.de senden - bitte auch hier, sofern vorhanden, eine Gewerbe-Ummeldung, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument bezüglich der Adressänderung als Nachweis beifügen. Vergiss dabei bitte nicht, deine Kundennummer und den Änderungswunsch mitzuteilen.     Bei weiteren Fragen hilft Dir unser Service-Center: Kontakt",wii kann ich Firmen Adreße ändern,fehler
Wie kann ich meine Firmenadresse ändern?,"Die Sicherheit deiner Kundendaten liegt uns sehr am Herzen. Daher möchten wir dich bitten, die Änderung deiner Kundendaten auf einem dieser Wege durchzuführen:     Bei deinem nächsten Einkauf in einem unserer Großmärkte legt der Zeichnungsberechtigte die Kundenkarte am Eingang vor und nennt seine neuen Kundendaten. Sofern vorhanden ist bitte außerdem eine Gewerbe-Ummeldung, ein aktualisierter Handelsregisterauszug oder ein sonstiges offizielles Dokument bezüglich der Adressänderung als Nachweis vorzulegen. Anschließend benötigen wir nur noch eine Unterschrift und die Änderung ist aktiv.     Alternativ kann uns der Zeichnungsberechtigte ein eingescanntes und unterschriebenes Dokument an kontakt@metro.de senden - bitte auch hier, sofern vorhanden, eine Gewerbe-Ummeldung, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument bezüglich der Adressänderung als Nachweis beifügen. Vergiss dabei bitte nicht, deine Kundennummer und den Änderungswunsch mitzuteilen.     Bei weiteren Fragen hilft Dir unser Service-Center: Kontakt",wie kann ich mein Firmen adresse aendern..??,fehler
Wie kann ich meine Lieferadresse ändern?,Du möchtest Deine Lieferadresse ändern? Dann melde dich bitte bei deinem Kundenmanager oder in deinem Regionalbüro. Alternativ stelle bitte eine Anfrage über unser Kontaktformular. Alles Weitere wird dann im Nachgang zwischen dir und unserem Kundenmanager besprochen.,WIE ÄNDER ich meine Lieferadressee?!,fehler
Wie kann ich meine Lieferadresse ändern?,Du möchtest Deine Lieferadresse ändern? Dann melde dich bitte bei deinem Kundenmanager oder in deinem Regionalbüro. Alternativ stelle bitte eine Anfrage über unser Kontaktformular. Alles Weitere wird dann im Nachgang zwischen dir und unserem Kundenmanager besprochen.,wie kannn ich meine liefer adresse andern??,fehler
Was ist Pentagast?,"Pentagast ist ein Zusammenschluss führender Fachhändler für Gastronomiebedarf.   Über uns bekommst Du Zugang zu einer riesigen Auswahl an hochwertigen Geräten und Produkten – alles, was Du für Deinen Betrieb brauchst.",Penta Gast was ist das?!,fehler
Was ist Pentagast?,"Pentagast ist ein Zusammenschluss führender Fachhändler für Gastronomiebedarf.   Über uns bekommst Du Zugang zu einer riesigen Auswahl an hochwertigen Geräten und Produkten – alles, was Du für Deinen Betrieb brauchst.",wass ist penta gassst?!,fehler
Warum funktioniert der Login in der App nicht?,"Bitte überprüfe, ob Du den richtigen Benutzernamen (alternativ: die richtige E-Mail Adresse) sowie das richtige Passwort eingegeben hast. Falls Du Dich nicht mehr an das Passwort erinnern kannst, nutze bitte die Passwort-Vergessen-Funktion. Falls Du weiterhin Schwierigkeiten mit dem Login hast, sende uns bitte ein Fehlerprotokoll, damit wir Dir schnellstmöglich weiterhelfen können. Hierzu wähle bitte in der App den Menüpunkt ,,Mehr"" und klicke auf ,,Fehler berichten"".",WARUM funktioniert der log in in der app NICHT????,fehler
Warum funktioniert der Login in der App nicht?,"Bitte überprüfe, ob Du den richtigen Benutzernamen (alternativ: die richtige E-Mail Adresse) sowie das richtige Passwort eingegeben hast. Falls Du Dich nicht mehr an das Passwort erinnern kannst, nutze bitte die Passwort-Vergessen-Funktion. Falls Du weiterhin Schwierigkeiten mit dem Login hast, sende uns bitte ein Fehlerprotokoll, damit wir Dir schnellstmöglich weiterhelfen können. Hierzu wähle bitte in der App den Menüpunkt ,,Mehr"" und klicke auf ,,Fehler berichten"".",wieso geht der loginn in der ap nicht mehr??,fehler
Wie kann ich das Foto freischalten lassen?,"Die Freischaltung für Neukunden oder Kunden mit Kreditfunktion erfolgt am Kundeneingang im Markt. Hier wird ein Foto von Dir verifiziert oder gemacht und gespeichert und auf Deiner digitalen Karte hinterlegt. Zusätzlich wird Dein Ausweis geprüft. Falls Du nicht zu diesen Kundengruppen gehörst, kannst Du ganz einfach selbst ein Foto von Dir in die App laden.",WIE KANN ICH DAS FOTO FREISCHALTEN LASSEN!!!!,fehler
